"Latitude (decimal degrees):	56.252",,,,,,,kWh/m2,,BQ,,Installation Calc,,,
"Longitude (decimal degrees):	-4.249",,,,,,,,,,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"year		month		Hb(n)_m		T2m",,,,,,,,,,,,,,
"2023		Jan		22.87		3.2",,,,,,,22.87,,,,,,,
"2023		Feb		33.15		5.1",,,,,,,33.15,,,,,,,
"2023		Mar		68.8		3.9",,,,,,,68.3,,,,,,,
"2023		Apr		100.02		6.8",,,,,,,100.02,,,,,,,
"2023		May		106.53		10.7",,,,,,,106.53,,,,,,,
"2023		Jun		125.3		14.7",,,,,,,125.3,,,,,,,
"2023		Jul		59.78		13.5",,,,,,,59.78,,,,,,,
"2023		Aug		59.31		13.9",,,,,,,59.31,,,,,,,
"2023		Sep		64.22		13.0",,,,,,,64.22,,250.472,,,,50.0944,41.74533333
"2023		Oct		43.36		8.3",,,,,,,43.86,,,,,,,
"2023		Nov		21.15		4.1",,,,,,,21.15,,,,,,,
"2023		Dec		12.15		4.0",,,,,,,12.15,,,,,,,
,,,,,,,716.64,,2866.56,,110,,,
Hb(n)_m: Monthly beam (direct) irradiation on a plane always normal to sun rays (kWh/m2/mo),,,,,,,,,,,,,,
T2m: 24 hour average of temperature (degree Celsius),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PVGIS (c) European Union, 2001-2024,,,,,,,,,,,,,