Timestamp,Display time,Home - Used,Home - Used From Powerwall,Home - Used From Solar,Home - Used From Grid,Powerwall - Discharged,Powerwall - Discharged To Home,Powerwall - Discharged To Grid,Powerwall - Charged,Powerwall - Charged From Solar,Powerwall - Charged From Grid,Solar - Generated,Solar - Sent To Home,Solar - Sent To Powerwall,Solar - Sent To Grid,Grid - Imported,Grid - Used By Home,Grid - Used By Powerwall,Grid - Exported,Grid - Exported From Powerwall,Grid - Exported From Solar
2024-09-01T00:00:00.000+01:00,"Sun Sep 01",19048,11652,2180,5217,11658,11652,7,-6378,-172,-6206,2360,2180,172,9,11423,5217,6206,-15,-6,-8
2024-09-02T00:00:00.000+01:00,"Mon Sep 02",11304,5224,1171,4909,5232,5224,8,-12392,-50,-12342,1232,1171,50,11,17251,4909,12342,-19,-8,-11
2024-09-03T00:00:00.000+01:00,"Tue Sep 03",13867,7062,3690,3115,7066,7062,4,-10044,-2664,-7380,6372,3690,2664,18,10495,3115,7380,-22,-4,-18
2024-09-04T00:00:00.000+01:00,"Wed Sep 04",16241,9315,4380,2546,9322,9315,8,-7210,-2378,-4832,6768,4380,2378,10,7378,2546,4832,-17,-7,-10
2024-09-05T00:00:00.000+01:00,"Thu Sep 05",17960,9127,5744,3090,9134,9127,8,-13658,-5204,-8454,11036,5744,5204,88,11544,3090,8454,-95,-7,-88
2024-09-06T00:00:00.000+01:00,"Fri Sep 06",16015,10998,4617,400,11008,10998,10,-9152,-9152,0,14726,4617,9152,957,400,400,0,-967,-10,-957
2024-09-07T00:00:00.000+01:00,"Sat Sep 07",12219,7713,2988,1518,7718,7713,5,-10108,-3704,-6404,14228,2988,3704,7537,7922,1518,6404,-7541,-5,-7536
2024-09-08T00:00:00.000+01:00,"Sun Sep 08",10537,6743,2930,864,6750,6743,7,-8390,-3550,-4840,11050,2930,3550,4570,5704,864,4840,-4577,-7,-4570
2024-09-09T00:00:00.000+01:00,"Mon Sep 09",18537,11180,5605,1752,11188,11180,8,-6216,-752,-5464,6370,5605,752,13,7216,1752,5464,-21,-8,-13
2024-09-10T00:00:00.000+01:00,"Tue Sep 10",16619,6813,8005,1801,6820,6813,7,-15066,-6536,-8530,14550,8005,6536,9,10331,1801,8530,-16,-7,-9
2024-09-11T00:00:00.000+01:00,"Wed Sep 11",21917,11023,8432,2462,11034,11023,11,-10352,-6108,-4244,14548,8432,6108,8,6706,2462,4244,-19,-11,-8
2024-09-12T00:00:00.000+01:00,"Thu Sep 12",22198,12510,6491,3197,12518,12510,8,-12684,-5400,-7284,11896,6491,5400,5,10481,3197,7284,-13,-8,-5
2024-09-13T00:00:00.000+01:00,"Fri Sep 13",17228,8858,4852,3518,8864,8858,6,-14076,-5042,-9034,9908,4852,5042,14,12552,3518,9034,-20,-6,-14
2024-09-14T00:00:00.000+01:00,"Sat Sep 14",13129,5773,1687,5669,5782,5773,9,-4386,-334,-4052,2034,1687,334,13,9721,5669,4052,-22,-9,-13
2024-09-15T00:00:00.000+01:00,"Sun Sep 15",12383,6264,4334,1785,6272,6264,8,-9984,-3790,-6194,8134,4334,3790,10,7979,1785,6194,-18,-8,-10
2024-09-16T00:00:00.000+01:00,"Mon Sep 16",13798,7014,4504,2280,7024,7014,10,-8238,-4748,-3490,11848,4504,4748,2596,5770,2280,3490,-2606,-10,-2596
2024-09-17T00:00:00.000+01:00,"Tue Sep 17",7883,4346,2860,677,4354,4346,8,-5204,-3490,-1714,8836,2860,3490,2486,2391,677,1714,-2494,-8,-2486
2024-09-18T00:00:00.000+01:00,"Wed Sep 18",8789,4962,3072,755,4974,4962,12,-5654,-3830,-1824,13052,3072,3830,6150,2579,755,1824,-6162,-12,-6150
2024-09-19T00:00:00.000+01:00,"Thu Sep 19",9550,6560,2796,194,6576,6560,16,-6348,-6348,0,13734,2796,6348,4590,194,194,0,-4606,-16,-4590
2024-09-20T00:00:00.000+01:00,"Fri Sep 20",19793,9381,4801,5611,9386,9381,5,-2780,-40,-2740,4850,4801,40,9,8351,5611,2740,-14,-5,-9
2024-09-21T00:00:00.000+01:00,"Sat Sep 21",14053,6792,4814,2447,6796,6792,4,-13682,-3468,-10214,8294,4814,3468,12,12661,2447,10214,-16,-4,-12
2024-09-22T00:00:00.000+01:00,"Sun Sep 22",24110,12000,3595,8515,12004,12000,4,-7500,-12,-7488,3612,3595,12,5,16003,8515,7488,-9,-4,-5
2024-09-23T00:00:00.000+01:00,"Mon Sep 23",15833,10197,1821,3815,10204,10197,7,-11916,-352,-11564,2178,1821,352,5,15379,3815,11564,-12,-7,-5
2024-09-24T00:00:00.000+01:00,"Tue Sep 24",23265,13147,4713,5405,13152,13147,5,-15396,-3728,-11668,8454,4713,3728,13,17073,5405,11668,-18,-5,-13
2024-09-25T00:00:00.000+01:00,"Wed Sep 25",18467,9873,5062,3532,9886,9873,13,-17404,-5948,-11456,11022,5062,5948,12,14988,3532,11456,-25,-13,-12
2024-09-26T00:00:00.000+01:00,"Thu Sep 26",21556,12700,5053,3803,12706,12700,6,-6854,-1704,-5150,6766,5053,1704,9,8953,3803,5150,-15,-6,-9
2024-09-27T00:00:00.000+01:00,"Fri Sep 27",23706,11696,7598,4412,11702,11696,6,-13436,-1970,-11466,9576,7598,1970,8,15878,4412,11466,-14,-6,-8
2024-09-28T00:00:00.000+01:00,"Sat Sep 28",23838,11321,3922,8595,11324,11321,3,-12358,-610,-11748,4542,3922,610,10,20343,8595,11748,-13,-3,-10
2024-09-29T00:00:00.000+01:00,"Sun Sep 29",24030,11085,6104,6841,11086,11085,1,-12494,-1028,-11466,7142,6104,1028,10,18307,6841,11466,-11,-1,-10
2024-09-30T00:00:00.000+01:00,"Mon Sep 30",17901,8720,1344,7837,8726,8720,6,-11478,0,-11478,1354,1344,0,10,19315,7837,11478,-16,-6,-10